Sample,SRR8181562,SRR8181563,SRR8181564,SRR8181565,SRR8181566,SRR8181567,SRR5639640,SRR6181120,SRR6181121,SRR6181136,SRR6181137,SRR7243508,SRR7243509,SRR7243510,SRR7243511,SRR7243512,SRR7243513,SRR7243556,SRR7243557,SRR7243558,SRR7243559,SRR7243560,SRR7243561,SRR7243938,SRR7243939,SRR7243954,SRR7243955,SRR8181550,SRR8181551,SRR8181552,SRR8181556,SRR8181557,SRR8181558,SRR8181559,SRR8181560,SRR8181561,SRR1707771,SRR1707772,SRR1707773,SRR1707774,SRR1707775,SRR1707776,SRR1707777,SRR1707778,SRR1707779,SRR1707780,SRR1707781,SRR1707782,SRR1707783,SRR1707784,SRR1707785,SRR1707786,SRR5400307,SRR5400308,SRR5400309,SRR5400313,SRR5400314,SRR5400315,SRR8181568,SRR8181569,SRR8181570,SRR8181571,SRR8181572,SRR8181573,SRR1707763,SRR1707764,SRR1707765,SRR1707766,SRR1707767,SRR1707768,SRR1707769,SRR1707770,SRR6671610,SRR6671611,SRR6671612,SRR6671613,SRR6671614,SRR6671615,SRR6671616,SRR6671617,SRR6671618,SRR6671619,SRR3477312,SRR3477313,SRR3477314,SRR3477315,SRR3477316,SRR3477317,SRR3477318,SRR3477319,SRR3477320,SRR3477321,SRR3477322,SRR3477323,SRR8181574,SRR8181575,SRR8181576,SRR8181577,SRR8181578,SRR8181579,SRR1707787,SRR1707788,SRR1707789,SRR1707790,SRR1707791,SRR1707792,SRR1707793,SRR1707794
Group,middle,middle,middle,middle,middle,middle,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,middle,middle,middle,middle,middle,middle,middle,middle,middle,middle,middle,middle,middle,middle,middle,middle,middle,middle,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old
Age,15,15,15,15,15,15,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,3,3,3,3,3,3,3,3,3,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,30,30,30,30,30,30,30,30,30,30,30,30,21,21,21,21,21,21,21,21,20,20,20,20,20,20,20,20,20,20,55,55,55,55,55,55,55,55,55,55,55,55,45,45,45,45,45,45,49,49,49,49,49,49,49,49
FBgn0000083,611,610,589,537,773,715,2241,2035,4086,2409,2339,2068,2021,1731,1492,3804,2234,2348,2331,3378,2286,2622,1339,1882,3239,1856,2207,1143,1508,1299,353,365,511,450,369,362,5961,5373,959,3628,6569,4694,3645,2993,7159,6096,718,1542,547,4174,5978,3239,1987,2182,2022,1548,1760,1865,664,633,742,688,603,595,51,301,564,375,396,403,571,618,1088,1361,1020,1270,1372,1654,2003,2335,1845,2215,8107,7341,8465,7676,10119,10061,8263,8898,8371,6356,7519,6223,1148,1127,1169,1112,731,814,432,961,3828,6744,1920,1175,2331,2115
FBgn0000384,95,70,73,62,110,87,69,91,168,87,99,100,121,87,67,167,92,141,86,101,96,108,39,91,101,64,69,123,135,106,79,50,57,77,61,72,270,249,31,130,256,265,144,128,388,249,22,58,20,213,300,140,154,226,167,177,192,198,80,79,75,60,80,83,2,21,27,16,18,26,22,44,433,556,356,454,493,601,723,845,458,567,1524,1586,1308,1383,1701,2089,1566,1526,1481,1713,1320,1300,106,82,90,102,67,83,11,28,110,200,34,26,73,88
FBgn0000477,274,275,193,180,323,279,519,389,659,890,447,292,341,428,198,620,289,670,817,1016,418,629,293,363,424,669,486,764,686,671,95,106,183,157,152,202,1273,1419,271,1064,1863,1434,1202,631,1397,1167,176,495,258,1456,2196,740,960,900,874,749,743,723,218,242,278,250,278,268,30,94,231,167,94,99,226,313,375,476,298,370,437,541,380,575,305,376,2587,3374,2991,2924,3948,4103,5481,4620,3169,2725,2991,2945,317,296,322,290,310,342,80,214,928,1686,374,197,416,513
FBgn0000490,57,69,66,70,101,77,191,204,371,278,233,256,201,220,175,359,213,235,258,354,207,390,128,193,295,202,183,117,133,111,60,43,61,56,50,52,522,386,81,246,380,399,287,239,759,390,42,96,13,330,436,353,219,257,196,183,154,168,63,69,65,62,58,66,8,30,42,23,52,40,37,64,34,37,25,35,28,39,58,53,37,38,1145,907,1078,956,1088,1121,806,813,970,749,942,919,80,72,76,89,65,61,19,60,131,257,123,72,108,133
FBgn0001987,123,112,105,123,146,166,495,308,863,590,558,378,416,365,328,837,521,638,491,716,492,595,260,291,591,363,424,240,258,221,98,83,99,117,81,93,825,720,138,565,945,975,566,435,1022,843,93,232,36,798,1042,461,404,457,370,294,306,334,130,108,156,139,142,118,9,46,84,55,51,58,77,132,94,113,78,95,101,98,110,161,122,125,1523,1365,1543,1488,1940,2234,1923,1984,1377,1517,1462,1307,199,189,235,189,139,127,68,118,344,657,223,125,297,268
FBgn0003137,1261,1165,1201,1208,1524,1339,5245,4388,8942,10552,4575,5616,5761,5345,3331,8688,5824,8030,10261,9188,4456,5430,2320,4233,6142,6911,5183,2746,2730,2539,903,795,1030,952,860,839,7414,7802,1343,7449,12390,10868,7387,4299,8342,7720,801,2601,327,5727,9692,4792,4776,5317,4061,3282,3499,3977,1263,1176,1571,1516,1197,1118,103,488,842,603,367,575,736,1306,264,297,217,195,194,239,178,253,269,330,19910,17333,24388,23245,25129,24291,19030,23859,20999,16864,21327,24273,1965,1990,2208,2063,1430,1568,600,1539,4121,5524,2033,2479,2596,2318
FBgn0003731,360,275,289,285,372,382,967,924,1495,1443,919,911,1022,1055,505,1358,666,1296,1363,1816,840,1119,495,856,1062,1065,934,761,806,669,237,182,254,297,251,232,1502,2015,393,1231,2048,1953,1069,578,1406,1526,259,543,84,1649,2384,648,1350,1491,1154,1087,1103,1166,291,290,355,328,310,342,34,140,184,132,88,131,195,266,80,81,65,82,85,115,148,141,89,120,4680,3847,4594,4388,4779,5019,3951,4186,3414,2273,2933,3065,439,439,388,407,351,339,135,258,764,905,341,284,586,475
FBgn0004102,86,79,58,67,87,84,240,222,628,275,300,236,294,247,267,613,319,302,244,316,279,376,155,206,332,160,226,154,190,165,50,72,76,71,75,55,983,845,155,434,928,969,604,378,1104,717,143,235,38,821,1087,421,340,350,355,264,295,301,85,98,56,71,85,68,12,45,63,58,61,50,49,107,333,387,288,343,369,485,430,547,328,442,2229,2234,1690,1762,1873,2038,1388,1814,2140,2463,2048,1882,77,103,109,72,75,68,49,72,260,412,135,137,253,206
