Sample,ERR668344,ERR668379,ERR668391,ERR668394,SRR3627937,SRR3627954,SRR3627955,SRR3627956,SRR3627957,SRR3627958,SRR5831945,SRR5831947,SRR5831948,SRR5831949,SRR5831950,SRR5831951,SRR5831952,SRR5831954,SRR5831955,SRR5831956,SRR5831957,SRR5831960,SRR5831970,SRR5831972,SRR5831975,SRR5831977,SRR5831985,SRR5831987,SRR5831995,SRR5938431,SRR5938444,SRR5938451,SRR5938454,SRR945214,SRR945215,SRR945216,SRR945217,SRR1004307,SRR1004308,SRR1004309,SRR1004310,SRR1004311,SRR1004312,SRR1004313,SRR1004314,SRR1004315,SRR1004316,SRR1004317,SRR1004318,SRR1004319,SRR1004320,SRR3627898,SRR3627947,SRR3627959,SRR3627960,SRR3627961,SRR3627962,SRR3627966,SRR3627970,SRR3627971,SRR3628383,SRR3628385,SRR3628388,SRR945218,SRR945219,SRR945220,SRR945221,SRR945222,SRR945223,SRR945224,SRR945225,ERR668338,ERR668346,ERR668351,ERR668353,ERR668396,ERR668407,SRR1004321,SRR1747143,SRR1747144,SRR1747145,SRR1747146,SRR1747147,SRR1747148,SRR1747149,SRR1747150,SRR1747151,SRR1747152,SRR1747153,SRR1747154,SRR1747155,SRR1747157,SRR1747158,SRR1747159,SRR1747160,SRR1747161,SRR1747162,SRR1747163,SRR1747164,SRR1747165,SRR1747166,SRR1747167,SRR1747175,SRR1747176,SRR1747177,SRR1747178,SRR1747179,SRR1747180,SRR1747181,SRR1747183,SRR1747184,SRR1747190,SRR1747191,SRR3627972,SRR3627991,SRR3627995
Group,young,young,young,young,middle,young,young,young,young,young,young,young,young,young,middle,middle,young,young,young,middle,young,young,middle,young,middle,middle,middle,middle,middle,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,middle,middle,middle,middle,middle,middle,middle,middle,middle,middle,middle,middle,middle,middle,old,middle,middle,middle,middle,middle,middle,middle,middle,middle,middle,middle,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old
Age,13,25,15,22,41,17,17,18,18,19,30,17,25,30,59,56,16,18,16,36,25,18,55,28,34,51,56,51,54,13,14,14,13,21,21,27,27,19,20,20,22,24,27,28,29,36,39,41,50,53,56,42,41,41,42,43,56,58,57,61,59,59,59,52,52,47,47,58,58,59,59,67,78,86,89,73,67,61,73,91,82,97,86,91,81,79,63,66,69,79,61,70,66,73,60,76,61,62,69,61,88,93,80,74,69,76,78,87,86,68,106,66,64,71,76,78
ENSG00000160213,1009,1183,653,1425,1200,1031,2559,1063,829,2375,100,366,95,69,174,206,235,71,70,120,68,26,238,320,335,116,245,236,244,337,146,381,318,169,347,89,189,357,403,227,249,267,336,344,380,384,342,375,415,391,526,1336,1235,679,1277,1613,430,435,827,1239,998,594,1169,108,163,133,241,118,241,116,237,1972,1926,662,2321,1320,2364,577,2574,961,1855,2893,1345,1601,1265,1440,1590,2073,2477,1654,2221,1567,1188,2650,1325,1538,1389,1812,1115,1055,1629,133,2412,2066,6815,2797,2280,1637,3394,3920,3196,1758,1509,1953,466,549
ENSG00000146535,489,1290,1290,1708,1568,2242,3378,2224,1176,6124,300,797,305,182,483,1173,874,165,163,316,228,49,620,720,724,364,572,818,968,817,304,1002,1078,187,403,102,238,915,543,265,272,410,517,438,564,285,308,436,400,366,653,1869,1891,1020,955,1861,1092,1014,3099,2012,1210,842,696,113,252,131,282,186,362,207,376,515,564,1230,907,2210,951,998,5170,1597,3074,6029,2023,3887,1642,2361,3430,4172,3746,2674,3601,2996,1656,7396,1948,2962,1386,2433,2227,1578,2740,298,2151,2874,5391,3928,3470,2478,6089,4729,4619,2508,1932,1587,1209,1269
ENSG00000105612,225,344,265,337,356,284,763,358,223,671,79,244,88,36,120,188,128,43,30,75,37,15,132,159,151,77,124,120,134,134,55,171,157,39,107,30,51,83,146,64,57,72,98,103,106,122,116,137,111,89,123,392,380,173,379,433,237,208,128,399,251,341,279,25,39,33,47,29,59,36,53,474,423,182,439,412,580,120,743,162,611,1057,407,542,246,313,461,690,976,479,727,558,387,760,427,455,273,383,470,349,444,33,396,624,1571,452,589,666,1045,787,704,560,360,496,227,329
ENSG00000125378,19,11,12,18,42,25,51,37,49,86,11,18,2,10,16,23,13,1,0,12,1,3,17,11,10,6,25,35,32,6,5,43,10,3,11,5,6,8,5,12,4,13,6,13,20,26,35,40,16,12,30,34,84,74,74,88,58,36,18,87,61,74,106,3,8,6,15,6,24,11,18,59,29,31,76,58,81,18,88,40,114,283,108,139,16,124,43,77,151,150,192,65,258,203,62,109,72,81,66,33,54,4,68,43,194,77,142,204,82,104,68,165,121,58,86,81
ENSG00000170835,14,8,6,26,21,42,44,16,26,48,10,13,3,6,3,30,14,0,0,5,3,0,5,9,12,2,9,16,11,9,6,34,10,7,14,3,3,16,5,1,3,10,2,4,4,6,16,2,11,11,19,21,38,25,20,46,25,14,21,34,19,18,32,2,6,4,7,4,8,2,7,13,14,12,3,15,8,6,197,108,110,92,68,82,50,161,41,77,93,110,91,61,163,101,46,57,45,124,30,57,77,1,71,30,125,64,67,18,65,109,32,30,24,24,14,17
ENSG00000100767,20,253,318,457,191,353,740,433,74,677,161,457,184,108,264,505,307,67,53,207,102,22,231,305,340,137,333,555,473,195,155,386,430,64,119,24,73,274,57,21,29,125,87,33,104,44,30,104,67,22,288,357,146,144,397,159,712,557,103,268,57,844,115,10,25,33,72,52,84,73,111,184,236,294,380,509,203,142,2403,688,1263,1287,788,1650,102,1151,1849,886,1505,1278,1212,1105,316,936,243,1078,175,696,999,384,943,44,824,1093,1359,2255,1394,797,1947,1966,1370,660,460,47,954,797
ENSG00000141736,113,322,161,320,213,320,423,301,205,579,68,255,77,42,139,217,162,31,33,64,45,9,180,160,194,78,145,174,182,123,67,168,153,37,75,17,31,177,65,41,35,47,113,62,143,75,50,221,76,49,203,315,282,151,153,281,304,264,246,290,132,315,113,16,39,16,43,27,74,23,52,254,470,231,613,457,363,309,757,465,526,1114,405,1086,299,448,726,720,803,657,661,659,447,2067,257,702,239,498,510,313,493,41,431,521,855,864,448,397,1773,1317,1050,338,318,242,431,333
ENSG00000115507,19,68,46,94,64,86,144,116,24,108,7,24,8,3,12,49,30,9,8,17,2,2,28,34,22,9,17,18,40,28,11,25,28,9,18,6,7,27,12,10,11,27,16,13,24,6,14,6,26,7,24,72,56,21,63,32,31,43,8,53,16,54,34,5,9,7,14,7,25,9,21,48,83,48,63,85,59,31,261,65,186,127,75,113,33,129,183,170,68,99,187,159,5,191,41,163,52,139,153,91,95,8,99,100,277,153,136,122,147,192,171,154,68,27,37,39
